ID,DIA_SEMANA,HORA_INICIO,NUM_SALA,ID_COMPONENTE
1,'SEG',1140,1,1
2,'SEG',1250,1,1
3,'TER',1140,1,2
4,'TER',1250,1,2
5,'QUA',1140,1,3
6,'QUA',1250,1,3
7,'QUI',1140,1,4
8,'QUI',1250,1,4
9,'SEX',1140,1,5
10,'SEX',1250,1,5
11,'SAB',590,1,6
12,'SAB',700,1,7
13,'SEG',1140,2,8
14,'SEG',1250,2,8
15,'TER',1140,2,9
16,'TER',1250,2,9
17,'QUA',1140,2,10
18,'QUA',1250,2,10
19,'QUI',1140,2,11
20,'QUI',1250,2,11
21,'SEX',1140,2,12
22,'SEX',1250,2,12
23,'SAB',590,2,13
24,'SAB',700,2,14
25,'SEG',1140,3,15
26,'SEG',1250,3,15
27,'TER',1140,3,16
28,'TER',1250,3,16
29,'QUA',1140,3,17
30,'QUA',1250,3,17
31,'QUI',1140,3,18
32,'QUI',1250,3,18
33,'SEX',1140,3,19
34,'SEX',1250,3,19
35,'SAB',590,3,20
36,'SAB',700,3,21
37,'SEG',1140,4,22
38,'SEG',1250,4,22
39,'TER',1140,4,23
40,'TER',1250,4,23
41,'QUA',1140,4,24
42,'QUA',1250,4,24
43,'QUI',1140,4,25
44,'QUI',1250,4,25
45,'SEX',1140,4,26
46,'SEX',1250,4,26
47,'SAB',700,4,27
48,'SAB',810,1,28
49,'SEG',1140,5,29
50,'SEG',1250,5,29
51,'TER',1140,5,30
52,'TER',1250,5,30
53,'QUA',1140,5,31
54,'QUA',1250,5,31
55,'QUI',1140,5,32
56,'QUI',1250,5,32
57,'SEX',1140,5,33
58,'SEX',1250,5,33
59,'SAB',700,5,34
60,'SAB',810,2,35
61,'SEG',1140,6,36
62,'SEG',1250,6,36
63,'TER',1140,6,37
64,'TER',1250,6,37
65,'QUA',1140,6,38
66,'QUA',1250,6,38
67,'QUI',1140,6,39
68,'QUI',1250,6,39
69,'SEX',1140,6,40
70,'SEX',1250,6,40
71,'SAB',590,4,41
72,'SAB',700,6,42
73,'SEG',790,1,43
74,'SEG',900,1,43
75,'SEG',1010,1,44
76,'TER',790,1,45
77,'TER',900,1,45
78,'QUA',790,1,47
79,'QUA',900,1,47
80,'QUA',1010,1,48
81,'QUI',790,1,49
82,'QUI',900,1,49
83,'SEX',790,1,46
84,'SEX',900,1,46
85,'SEG',790,2,50
86,'SEG',900,2,50
87,'TER',790,2,52
88,'TER',900,2,52
89,'QUA',790,2,54
90,'QUA',900,2,54
91,'QUA',1010,2,55
92,'QUI',790,2,53
93,'QUI',900,2,53
94,'SEX',790,2,51
95,'SEX',900,2,51
96,'SEG',790,3,56
97,'SEG',900,3,56
98,'SEG',1010,2,57
99,'TER',790,3,58
100,'TER',900,3,58
101,'QUA',790,3,60
102,'QUA',900,3,60
103,'QUA',1010,3,61
104,'QUI',790,3,62
105,'QUI',900,3,62
106,'SEX',790,3,59
107,'SEX',900,3,59
108,'SEG',790,4,63
109,'SEG',900,4,63
110,'SEG',1010,3,68
111,'TER',790,4,65
112,'TER',900,4,65
113,'TER',1010,1,66
114,'QUA',790,4,67
115,'QUA',900,4,67
116,'QUI',790,4,69
117,'QUI',900,4,69
118,'SEX',790,4,64
119,'SEX',900,4,64
120,'SEG',790,5,70
121,'SEG',900,5,70
122,'SEG',1010,4,71
123,'TER',790,5,72
124,'TER',900,5,72
125,'TER',1010,2,73
126,'QUA',790,5,74
127,'QUA',900,5,74
128,'QUI',790,5,76
129,'QUI',900,5,76
130,'SEX',790,5,75
131,'SEX',900,5,75
132,'SEG',790,6,77
133,'SEG',900,6,77
134,'TER',790,6,79
135,'TER',900,6,79
136,'QUA',790,6,81
137,'QUA',900,6,81
138,'QUA',1010,4,82
139,'QUI',900,6,78
140,'QUI',1010,1,78
141,'SEX',790,6,80
142,'SEX',900,6,80
